episode,entropy,mean_team_return,consensus_rate,seconds
512,0.7943,0.6586,0.8105,1.5
1024,0.7384,1.302,0.8242,3.0
1536,0.6854,1.5484,0.8496,4.5
2048,0.6484,1.2726,0.8242,5.9
2560,0.5968,1.6158,0.8301,7.4
3072,0.5337,1.6596,0.8359,8.8
3584,0.4388,1.6075,0.8086,10.4
4096,0.3884,1.8063,0.8398,11.9
4608,0.3609,1.8204,0.8301,13.3
5120,0.32,1.7668,0.8242,14.8
5632,0.2929,1.7601,0.8145,16.3
6144,0.3015,1.911,0.8477,17.8
6656,0.2718,1.8528,0.8145,19.3
7168,0.262,1.8188,0.8242,20.8
7680,0.2819,1.7185,0.8008,22.3
8192,0.2192,1.7705,0.7793,23.9
8704,0.1976,1.7364,0.8066,25.4
9216,0.1885,1.6314,0.8066,26.9
9728,0.1719,1.7688,0.8145,28.4
10240,0.1467,1.6969,0.8145,29.9
10752,0.1429,1.6949,0.8008,31.4
11264,0.1257,1.8653,0.8164,32.9
11776,0.1069,1.6533,0.8223,34.5
12288,0.1014,1.6568,0.8223,36.0
12800,0.1014,1.6817,0.8281,37.5
13312,0.0992,1.8142,0.8379,39.0
13824,0.1166,1.6745,0.8027,40.5
14336,0.1054,1.6925,0.793,42.0
14848,0.1219,1.8341,0.7949,43.6
15360,0.1558,1.8566,0.8066,45.0
15872,0.172,1.9319,0.8242,46.6
16384,0.1486,1.6598,0.8301,48.1
16896,0.1568,1.6621,0.8086,49.6
17408,0.1774,1.755,0.8105,51.1
17920,0.1991,1.6117,0.7949,52.7
18432,0.2362,1.7591,0.8027,54.2
18944,0.2193,1.6825,0.8184,55.7
19456,0.2033,1.7834,0.8223,57.3
19968,0.2466,1.8728,0.8301,58.8
20480,0.3215,1.8373,0.8301,60.2
20992,0.2815,1.8782,0.8262,61.7
21504,0.3118,1.9003,0.8164,63.3
22016,0.2743,1.7869,0.8223,64.8
22528,0.2739,1.7487,0.8164,66.3
23040,0.2283,1.8832,0.8535,67.8
23552,0.2238,1.7357,0.8086,69.4
24064,0.2892,1.8441,0.8223,70.9
24576,0.3116,1.7452,0.832,72.4
25088,0.3169,1.7985,0.8301,73.9
25600,0.3072,1.9032,0.8652,75.4
26112,0.3026,1.8491,0.8535,76.9
26624,0.3033,1.7707,0.8242,78.4
27136,0.2806,1.7494,0.8496,79.9
27648,0.2852,1.7754,0.8477,81.4
28160,0.2813,1.7987,0.8262,82.9
28672,0.2553,1.6923,0.7871,84.5
29184,0.2059,1.821,0.8184,86.0
29696,0.1715,1.7051,0.8223,87.5
30208,0.1446,1.8903,0.8574,89.0
30720,0.1359,1.6909,0.8281,90.5
31232,0.1337,1.8529,0.8262,92.1
31744,0.2226,1.8531,0.8164,93.6
32256,0.2313,1.7815,0.8047,95.1
32768,0.2443,1.8622,0.8516,96.6
33280,0.2685,1.9133,0.877,98.1
33792,0.2492,1.7625,0.8184,99.6
34304,0.2659,1.629,0.8047,101.2
34816,0.2995,1.7363,0.8203,102.7
35328,0.2625,1.7921,0.8398,104.2
35840,0.2639,1.7009,0.8184,105.7
36352,0.2727,1.7836,0.8223,107.3
36864,0.2805,1.7293,0.8359,108.8
37376,0.2922,1.8576,0.832,110.3
37888,0.2805,1.8168,0.832,111.8
38400,0.2259,1.9408,0.8457,113.3
38912,0.199,1.7972,0.8418,114.8
39424,0.2169,1.7536,0.8418,116.3
39936,0.1976,1.8913,0.8613,117.7
40448,0.2419,1.979,0.8359,119.2
40960,0.2588,1.9796,0.8203,120.8
41472,0.1953,1.8259,0.8398,122.2
41984,0.1347,1.7383,0.8242,123.8
42496,0.102,1.6902,0.8203,125.3
43008,0.0614,1.6957,0.8164,126.8
43520,0.0314,1.6914,0.834,128.3
44032,0.0274,1.5638,0.7969,129.9
44544,0.021,1.7312,0.8477,131.3
45056,0.0208,1.6894,0.8184,132.9
45568,0.0329,1.6653,0.8008,134.4
46080,0.0191,1.6288,0.8008,136.0
46592,0.0184,1.7615,0.8281,137.5
47104,0.0175,1.6607,0.8164,139.0
47616,0.0174,1.5929,0.8047,140.6
48128,0.0234,1.7112,0.8164,142.1
48640,0.0187,1.7973,0.8477,143.6
49152,0.0186,1.7411,0.8301,145.1
49664,0.021,1.6281,0.7969,146.6
