episode,epsilon,mean_team_return,consensus_rate,seconds
500,0.986,0.3039,0.83,1.2
1000,0.973,0.0437,0.808,2.4
1500,0.959,-0.2177,0.784,3.6
2000,0.946,0.0756,0.798,4.8
2500,0.932,0.3327,0.824,5.9
3000,0.919,0.0388,0.814,7.1
3500,0.905,0.2509,0.828,8.3
4000,0.891,0.3999,0.836,9.5
4500,0.878,0.1349,0.818,10.7
5000,0.864,0.1739,0.812,11.8
5500,0.851,-0.3035,0.762,13.0
6000,0.837,0.0613,0.814,14.2
6500,0.824,0.2566,0.83,15.4
7000,0.81,0.4266,0.836,16.6
7500,0.796,0.6402,0.842,17.8
8000,0.783,0.0534,0.796,19.0
8500,0.769,-0.285,0.774,20.2
9000,0.756,0.5565,0.83,21.4
9500,0.742,0.1265,0.794,22.5
10000,0.729,0.1744,0.818,23.7
10500,0.715,0.7023,0.832,24.9
11000,0.701,0.3476,0.814,26.1
11500,0.688,0.4777,0.826,27.3
12000,0.674,0.4318,0.82,28.5
12500,0.661,0.5006,0.82,29.7
13000,0.647,0.7245,0.836,30.9
13500,0.634,0.6884,0.836,32.0
14000,0.62,0.5622,0.81,33.2
14500,0.606,0.3116,0.8,34.4
15000,0.593,0.957,0.852,35.6
15500,0.579,0.3477,0.808,36.8
16000,0.566,0.5122,0.822,38.0
16500,0.552,0.5998,0.82,39.2
17000,0.539,0.5575,0.806,40.4
17500,0.525,0.8021,0.832,41.6
18000,0.511,0.6363,0.812,42.8
18500,0.498,0.7396,0.84,44.0
19000,0.484,0.1024,0.786,45.2
19500,0.471,0.9218,0.834,46.3
20000,0.457,0.8546,0.824,47.5
20500,0.444,0.8672,0.834,48.7
21000,0.43,0.8871,0.834,49.9
21500,0.416,0.6008,0.806,51.1
22000,0.403,0.7044,0.81,52.3
22500,0.389,0.8141,0.816,53.5
23000,0.376,1.2276,0.866,54.7
23500,0.362,0.959,0.828,55.8
24000,0.349,0.9094,0.81,57.0
24500,0.335,1.2598,0.85,58.2
25000,0.321,0.9161,0.818,59.4
25500,0.308,0.963,0.82,60.6
26000,0.294,0.8753,0.824,61.8
26500,0.281,1.1448,0.846,63.0
27000,0.267,0.8387,0.816,64.2
27500,0.254,1.1846,0.846,65.3
28000,0.24,1.2093,0.83,66.5
28500,0.226,0.8873,0.808,67.7
29000,0.213,0.6765,0.788,68.9
29500,0.199,0.9982,0.83,70.1
30000,0.186,0.6463,0.806,71.3
30500,0.172,1.1537,0.828,72.5
31000,0.159,1.1021,0.834,73.7
31500,0.145,0.9865,0.83,74.9
32000,0.131,0.9733,0.806,76.1
32500,0.118,1.1425,0.812,77.2
33000,0.104,1.0247,0.832,78.4
33500,0.091,1.4213,0.846,79.6
34000,0.077,1.4662,0.828,80.8
34500,0.064,1.4117,0.828,82.0
35000,0.05,1.4099,0.854,83.2
35500,0.05,1.1242,0.812,84.4
36000,0.05,1.1348,0.818,85.5
36500,0.05,1.2256,0.816,86.7
37000,0.05,1.1762,0.832,87.9
37500,0.05,1.2468,0.808,89.1
38000,0.05,1.2065,0.848,90.3
38500,0.05,1.4758,0.852,91.5
39000,0.05,0.6083,0.8,92.7
39500,0.05,0.9618,0.812,93.8
40000,0.05,1.778,0.834,95.0
40500,0.05,1.1782,0.814,96.2
41000,0.05,1.1279,0.808,97.4
41500,0.05,1.5673,0.856,98.6
42000,0.05,1.194,0.824,99.8
42500,0.05,1.0999,0.798,101.0
43000,0.05,1.5978,0.852,102.1
43500,0.05,1.14,0.8,103.3
44000,0.05,1.3773,0.812,104.5
44500,0.05,1.4303,0.83,105.7
45000,0.05,0.8356,0.782,106.9
45500,0.05,1.2404,0.802,108.1
46000,0.05,1.347,0.802,109.3
46500,0.05,1.5446,0.826,110.5
47000,0.05,1.3376,0.808,111.6
47500,0.05,1.4383,0.83,112.8
48000,0.05,1.2699,0.824,114.0
48500,0.05,1.0792,0.82,115.2
49000,0.05,0.9445,0.812,116.3
49500,0.05,0.5793,0.782,117.5
50000,0.05,0.7832,0.802,118.7
