episode,entropy,mean_team_return,consensus_rate,seconds
512,0.7633,0.382,0.8145,1.5
1024,0.7104,0.5694,0.8223,3.0
1536,0.7006,0.9072,0.8496,4.5
2048,0.7277,0.4001,0.8203,6.1
2560,0.6017,0.4874,0.8027,7.6
3072,0.5818,0.7088,0.8379,9.1
3584,0.5366,0.8856,0.8457,10.7
4096,0.5469,0.9033,0.8359,12.2
4608,0.5865,1.1534,0.877,13.7
5120,0.5869,0.9958,0.8613,15.2
5632,0.5133,0.7409,0.8301,16.7
6144,0.5641,0.9888,0.8477,18.2
6656,0.5776,0.871,0.8301,19.8
7168,0.5021,0.7821,0.8164,21.3
7680,0.4044,0.9032,0.8203,22.8
8192,0.3008,1.0827,0.8203,24.3
8704,0.2417,0.9,0.8086,25.8
9216,0.1802,0.8523,0.8125,27.3
9728,0.1259,0.8401,0.8105,28.8
10240,0.1128,0.5755,0.7871,30.3
10752,0.1,0.8818,0.8066,31.8
11264,0.081,0.8113,0.7715,33.4
11776,0.1326,0.8942,0.7969,34.9
12288,0.1575,0.9717,0.8027,36.4
12800,0.1841,1.1605,0.8438,37.9
13312,0.1978,1.3639,0.8574,39.3
13824,0.2538,1.3413,0.8633,40.8
14336,0.2038,0.9914,0.8301,42.3
14848,0.235,0.962,0.8418,43.7
15360,0.2343,1.2361,0.8398,45.2
15872,0.1632,1.0812,0.8301,46.7
16384,0.1278,0.9404,0.8516,48.2
16896,0.1585,1.0513,0.8359,49.6
17408,0.16,1.0942,0.8496,51.1
17920,0.1144,1.1173,0.8477,52.6
18432,0.0983,1.1892,0.8535,54.1
18944,0.1307,0.9937,0.8203,55.6
19456,0.1477,0.9956,0.8281,57.0
19968,0.1262,0.805,0.8184,58.5
20480,0.127,1.0404,0.8164,60.0
20992,0.0754,1.0971,0.8594,61.5
21504,0.1584,1.1359,0.8555,62.9
22016,0.192,1.1802,0.8574,64.4
22528,0.2136,1.3479,0.8691,65.8
23040,0.1666,0.9227,0.8379,67.3
23552,0.1319,0.5535,0.7988,68.8
24064,0.1621,0.7864,0.8281,70.3
24576,0.1694,1.1237,0.8535,71.8
25088,0.1915,0.8534,0.8203,73.3
25600,0.1153,1.255,0.8711,74.7
26112,0.1168,1.1601,0.8457,76.2
26624,0.2029,0.8453,0.8203,77.7
27136,0.2425,0.9581,0.8398,79.1
27648,0.2106,1.011,0.8398,80.6
28160,0.246,1.2011,0.8496,82.1
28672,0.2179,1.2047,0.8574,83.6
29184,0.1811,1.0393,0.8438,85.0
29696,0.2024,1.1032,0.8379,86.5
30208,0.1702,1.1783,0.875,88.0
30720,0.1653,0.9023,0.8125,89.5
31232,0.1569,0.7136,0.7988,91.0
31744,0.1652,0.9862,0.8203,92.5
32256,0.0929,1.1093,0.8516,93.9
32768,0.1429,1.0228,0.8398,95.4
33280,0.1684,1.1393,0.8457,96.9
33792,0.1179,1.3527,0.875,98.3
34304,0.1595,1.1028,0.8379,99.8
34816,0.1881,1.2318,0.8633,101.3
35328,0.1703,0.9811,0.8516,102.7
35840,0.084,0.7892,0.832,104.2
36352,0.1585,0.8926,0.834,105.7
36864,0.1403,1.0634,0.8359,107.2
37376,0.0566,1.0155,0.8555,108.6
37888,0.101,1.0089,0.8379,110.1
38400,0.142,1.0336,0.8457,111.6
38912,0.1778,1.228,0.8652,113.0
39424,0.133,1.078,0.8652,114.5
39936,0.1633,1.3233,0.8613,115.9
40448,0.1719,1.0843,0.8398,117.4
40960,0.1513,1.3412,0.8652,118.9
41472,0.1612,1.4672,0.8848,120.3
41984,0.1899,1.2528,0.8574,121.8
42496,0.1648,0.8811,0.8496,123.2
43008,0.2076,1.094,0.8652,124.7
43520,0.1656,1.1618,0.8496,126.1
44032,0.1049,1.0182,0.8613,127.6
44544,0.13,1.1489,0.8633,129.0
45056,0.1119,1.195,0.873,130.5
45568,0.1067,1.237,0.8691,131.9
46080,0.1501,1.1156,0.8633,133.4
46592,0.1372,1.0603,0.8398,134.9
47104,0.1444,1.1066,0.8477,136.4
47616,0.15,0.9229,0.8184,137.9
48128,0.1005,1.3295,0.8691,139.3
48640,0.1018,1.1823,0.875,140.8
49152,0.1367,1.0451,0.8418,142.3
49664,0.0663,1.0581,0.8418,143.7
