episode,epsilon,mean_team_return,consensus_rate,seconds
500,0.986,0.0238,0.796,1.2
1000,0.973,-0.0349,0.81,2.4
1500,0.959,0.0578,0.802,3.6
2000,0.946,-0.0594,0.798,4.8
2500,0.932,-0.1215,0.772,6.1
3000,0.919,-0.1813,0.798,7.3
3500,0.905,0.2838,0.82,8.5
4000,0.891,0.1485,0.798,9.7
4500,0.878,0.4728,0.852,10.9
5000,0.864,0.1578,0.82,12.1
5500,0.851,0.0151,0.8,13.3
6000,0.837,0.1788,0.81,14.5
6500,0.824,0.0852,0.794,15.7
7000,0.81,0.2591,0.81,16.9
7500,0.796,-0.1166,0.774,18.1
8000,0.783,0.0911,0.812,19.3
8500,0.769,0.5354,0.836,20.5
9000,0.756,0.2076,0.81,21.7
9500,0.742,0.543,0.83,22.9
10000,0.729,0.419,0.82,24.1
10500,0.715,0.0858,0.792,25.3
11000,0.701,0.3655,0.818,26.5
11500,0.688,0.1287,0.784,27.7
12000,0.674,0.2566,0.798,28.9
12500,0.661,0.7998,0.844,30.1
13000,0.647,0.6412,0.828,31.3
13500,0.634,0.9595,0.864,32.5
14000,0.62,0.3525,0.826,33.6
14500,0.606,0.5178,0.82,34.8
15000,0.593,0.6136,0.836,36.0
15500,0.579,0.7537,0.836,37.2
16000,0.566,0.4474,0.812,38.4
16500,0.552,0.6605,0.832,39.6
17000,0.539,0.7209,0.82,40.8
17500,0.525,0.8145,0.838,42.0
18000,0.511,0.6787,0.83,43.2
18500,0.498,0.737,0.844,44.4
19000,0.484,0.6623,0.806,45.6
19500,0.471,0.4942,0.806,46.8
20000,0.457,0.521,0.814,47.9
20500,0.444,0.6674,0.804,49.1
21000,0.43,0.9399,0.852,50.3
21500,0.416,0.8273,0.84,51.5
22000,0.403,0.8356,0.85,52.7
22500,0.389,1.1643,0.85,53.9
23000,0.376,0.9573,0.818,55.1
23500,0.362,0.6125,0.802,56.3
24000,0.349,0.5929,0.798,57.5
24500,0.335,0.8284,0.818,58.7
25000,0.321,0.9293,0.816,59.9
25500,0.308,0.7436,0.834,61.0
26000,0.294,0.9237,0.834,62.2
26500,0.281,0.9294,0.814,63.4
27000,0.267,0.9924,0.814,64.6
27500,0.254,0.9427,0.834,65.8
28000,0.24,0.9559,0.818,67.0
28500,0.226,1.5196,0.872,68.1
29000,0.213,0.921,0.796,69.3
29500,0.199,1.1013,0.838,70.5
30000,0.186,1.4265,0.852,71.7
30500,0.172,1.133,0.824,72.9
31000,0.159,0.9144,0.794,74.1
31500,0.145,1.0273,0.814,75.3
32000,0.131,1.6077,0.824,76.5
32500,0.118,1.4022,0.842,77.7
33000,0.104,1.2145,0.816,78.8
33500,0.091,1.3697,0.84,80.0
34000,0.077,1.4706,0.828,81.2
34500,0.064,1.137,0.802,82.4
35000,0.05,1.648,0.84,83.6
35500,0.05,1.308,0.814,84.7
36000,0.05,1.0929,0.792,85.9
36500,0.05,1.3063,0.81,87.1
37000,0.05,1.3203,0.8,88.3
37500,0.05,1.2333,0.83,89.5
38000,0.05,1.3324,0.822,90.7
38500,0.05,1.4207,0.818,91.9
39000,0.05,1.3796,0.826,93.0
39500,0.05,1.5508,0.832,94.2
40000,0.05,1.359,0.842,95.4
40500,0.05,1.076,0.802,96.6
41000,0.05,1.3445,0.826,97.8
41500,0.05,1.327,0.838,98.9
42000,0.05,1.1374,0.802,100.1
42500,0.05,0.8816,0.8,101.3
43000,0.05,1.2848,0.834,102.5
43500,0.05,1.4163,0.828,103.7
44000,0.05,1.4439,0.838,104.9
44500,0.05,0.9787,0.812,106.1
45000,0.05,1.6918,0.848,107.2
45500,0.05,1.4922,0.83,108.4
46000,0.05,1.2734,0.816,109.6
46500,0.05,1.1094,0.816,110.8
47000,0.05,1.1714,0.818,112.0
47500,0.05,1.1019,0.796,113.2
48000,0.05,1.5327,0.838,114.4
48500,0.05,1.6743,0.834,115.5
49000,0.05,1.3337,0.822,116.7
49500,0.05,1.1528,0.806,117.9
50000,0.05,1.275,0.808,119.1
