episode,epsilon,mean_team_return,consensus_rate,seconds
500,0.986,0.0909,0.818,1.2
1000,0.973,0.0089,0.8,2.4
1500,0.959,-0.217,0.774,3.6
2000,0.946,0.0141,0.798,4.8
2500,0.932,0.0051,0.806,6.0
3000,0.919,-0.1352,0.804,7.2
3500,0.905,0.314,0.838,8.4
4000,0.891,0.4056,0.84,9.6
4500,0.878,0.12,0.808,10.8
5000,0.864,0.1844,0.816,12.0
5500,0.851,-0.348,0.766,13.2
6000,0.837,0.0785,0.818,14.4
6500,0.824,0.3845,0.832,15.6
7000,0.81,0.3756,0.832,16.8
7500,0.796,0.5989,0.836,18.0
8000,0.783,-0.0995,0.78,19.2
8500,0.769,-0.0409,0.796,20.5
9000,0.756,0.5101,0.83,21.7
9500,0.742,-0.0462,0.792,22.9
10000,0.729,0.222,0.812,24.1
10500,0.715,0.6839,0.836,25.3
11000,0.701,0.4113,0.822,26.5
11500,0.688,0.2308,0.814,27.7
12000,0.674,0.4638,0.82,28.9
12500,0.661,0.4365,0.812,30.2
13000,0.647,0.6451,0.832,31.4
13500,0.634,0.4193,0.832,32.6
14000,0.62,0.6658,0.832,33.8
14500,0.606,0.471,0.814,35.0
15000,0.593,0.7702,0.842,36.2
15500,0.579,0.4246,0.806,37.4
16000,0.566,0.5001,0.814,38.6
16500,0.552,0.6874,0.832,39.8
17000,0.539,0.603,0.814,41.0
17500,0.525,0.6311,0.822,42.1
18000,0.511,0.5928,0.814,43.3
18500,0.498,0.7933,0.834,44.5
19000,0.484,0.155,0.78,45.7
19500,0.471,0.8359,0.82,46.9
20000,0.457,0.9705,0.84,48.1
20500,0.444,0.8111,0.838,49.3
21000,0.43,0.849,0.832,50.4
21500,0.416,0.5471,0.81,51.6
22000,0.403,0.5523,0.82,52.8
22500,0.389,0.6424,0.814,54.0
23000,0.376,1.1344,0.86,55.2
23500,0.362,1.0567,0.838,56.4
24000,0.349,0.7583,0.796,57.6
24500,0.335,0.9964,0.842,58.7
25000,0.321,0.9348,0.83,59.9
25500,0.308,1.0531,0.834,61.1
26000,0.294,0.881,0.826,62.3
26500,0.281,1.3323,0.86,63.4
27000,0.267,0.6894,0.808,64.6
27500,0.254,1.2359,0.85,65.8
28000,0.24,1.195,0.818,67.0
28500,0.226,1.1614,0.822,68.2
29000,0.213,0.7107,0.792,69.4
29500,0.199,1.266,0.834,70.5
30000,0.186,0.7159,0.812,71.7
30500,0.172,1.1741,0.838,72.9
31000,0.159,0.825,0.824,74.1
31500,0.145,1.1476,0.834,75.2
32000,0.131,0.6818,0.802,76.4
32500,0.118,1.2296,0.818,77.6
33000,0.104,1.0099,0.836,78.8
33500,0.091,1.3745,0.838,79.9
34000,0.077,1.206,0.832,81.1
34500,0.064,1.4364,0.832,82.3
35000,0.05,1.5129,0.848,83.5
35500,0.05,1.0312,0.802,84.7
36000,0.05,1.1307,0.81,85.9
36500,0.05,1.1908,0.812,87.0
37000,0.05,1.2377,0.818,88.2
37500,0.05,1.1944,0.814,89.4
38000,0.05,1.0607,0.824,90.6
38500,0.05,1.0613,0.838,91.7
39000,0.05,0.5,0.79,92.9
39500,0.05,0.9853,0.834,94.1
40000,0.05,1.6301,0.836,95.3
40500,0.05,1.2988,0.82,96.5
41000,0.05,1.2514,0.82,97.6
41500,0.05,1.5152,0.854,98.8
42000,0.05,1.0634,0.828,100.0
42500,0.05,0.9202,0.804,101.2
43000,0.05,1.3577,0.85,102.3
43500,0.05,0.7128,0.788,103.5
44000,0.05,1.1108,0.814,104.7
44500,0.05,1.4924,0.828,105.9
45000,0.05,0.8997,0.792,107.1
45500,0.05,1.113,0.8,108.3
46000,0.05,1.096,0.782,109.4
46500,0.05,1.4882,0.836,110.6
47000,0.05,1.1141,0.812,111.8
47500,0.05,1.2466,0.822,113.0
48000,0.05,1.1419,0.822,114.2
48500,0.05,1.2969,0.82,115.3
49000,0.05,0.8323,0.808,116.5
49500,0.05,1.0114,0.796,117.7
50000,0.05,1.0022,0.8,118.9
