episode,entropy,mean_team_return,consensus_rate,seconds
512,0.7597,0.9322,0.8301,1.4
1024,0.6946,1.3862,0.8125,2.9
1536,0.6942,1.5901,0.8418,4.3
2048,0.671,1.5538,0.834,5.8
2560,0.644,1.6629,0.8301,7.2
3072,0.6062,1.5885,0.8242,8.6
3584,0.5737,1.6967,0.8125,10.1
4096,0.5829,1.8651,0.8457,11.5
4608,0.5453,1.8495,0.8457,12.9
5120,0.4695,1.7381,0.8242,14.4
5632,0.4498,1.74,0.8184,15.9
6144,0.3731,1.8786,0.8535,17.3
6656,0.3504,1.8185,0.8027,18.7
7168,0.3384,1.7959,0.8086,20.2
7680,0.3085,1.7383,0.7773,21.7
8192,0.2882,1.6318,0.748,23.2
8704,0.3312,1.7149,0.7852,24.7
9216,0.3813,1.6684,0.7988,26.2
9728,0.3273,1.7129,0.8008,27.7
10240,0.3032,1.6708,0.7949,29.2
10752,0.3233,1.7531,0.7891,30.7
11264,0.409,1.8305,0.8008,32.2
11776,0.3517,1.7185,0.8203,33.7
12288,0.3557,1.7267,0.8184,35.1
12800,0.3386,1.717,0.8184,36.6
13312,0.3401,1.8375,0.8398,38.1
13824,0.3688,1.5893,0.8086,39.6
14336,0.3996,1.6554,0.8066,41.1
14848,0.3806,1.769,0.8242,42.6
15360,0.3582,1.8861,0.8379,44.0
15872,0.3605,1.9126,0.8223,45.5
16384,0.3555,1.7755,0.8262,47.0
16896,0.2902,1.8393,0.8125,48.4
17408,0.2506,1.9317,0.8047,49.9
17920,0.2305,1.7633,0.7891,51.4
18432,0.2477,1.731,0.7891,53.0
18944,0.2185,1.7423,0.8184,54.4
19456,0.2387,1.7046,0.8145,55.9
19968,0.1629,1.8025,0.8223,57.4
20480,0.182,1.9022,0.8418,58.9
20992,0.1229,1.7254,0.8164,60.4
21504,0.1083,1.7559,0.7891,61.9
22016,0.1059,1.7676,0.8105,63.4
22528,0.0733,1.753,0.8105,64.9
23040,0.0675,1.7879,0.8398,66.4
23552,0.0568,1.7262,0.7988,67.9
24064,0.055,1.6697,0.7988,69.4
24576,0.0799,1.6105,0.8027,70.9
25088,0.0699,1.6967,0.8145,72.4
25600,0.0623,1.7335,0.8418,73.9
26112,0.0649,1.6953,0.834,75.4
26624,0.0777,1.7124,0.8047,76.9
27136,0.1015,1.7168,0.832,78.4
27648,0.1078,1.779,0.8203,79.9
28160,0.0809,1.716,0.793,81.4
28672,0.055,1.67,0.7715,82.9
29184,0.0498,1.7633,0.8066,84.4
29696,0.0421,1.7534,0.8242,85.9
30208,0.0435,1.7274,0.8398,87.4
30720,0.0495,1.6534,0.8242,88.9
31232,0.041,1.7787,0.8203,90.4
31744,0.0671,1.6853,0.8008,91.9
32256,0.0668,1.6846,0.7871,93.5
32768,0.0497,1.7028,0.8262,95.0
33280,0.0327,1.7932,0.8594,96.4
33792,0.0357,1.6656,0.8008,97.9
34304,0.0341,1.6414,0.791,99.5
34816,0.0276,1.7355,0.8047,101.0
35328,0.0351,1.7353,0.8242,102.5
35840,0.0354,1.5866,0.793,104.0
36352,0.0455,1.6765,0.8027,105.5
36864,0.046,1.6362,0.8184,107.0
37376,0.0541,1.6865,0.8125,108.6
37888,0.0521,1.7685,0.8203,110.1
38400,0.036,1.7482,0.834,111.5
38912,0.0414,1.7065,0.8125,113.1
39424,0.0296,1.7702,0.8301,114.5
39936,0.0232,1.8011,0.8477,116.0
40448,0.0566,1.7751,0.8105,117.5
40960,0.0844,1.8426,0.8086,119.0
41472,0.0519,1.7918,0.8223,120.5
41984,0.0426,1.6571,0.8066,122.0
42496,0.0622,1.7252,0.8145,123.5
43008,0.0716,1.8394,0.8047,125.0
43520,0.0427,1.8094,0.8262,126.4
44032,0.048,1.6389,0.7969,128.0
44544,0.0366,1.7424,0.8477,129.4
45056,0.0216,1.7212,0.8164,130.9
45568,0.0372,1.7185,0.8027,132.4
46080,0.0513,1.6854,0.7988,134.0
46592,0.0617,1.8675,0.832,135.4
47104,0.124,1.7371,0.8164,136.9
47616,0.091,1.6717,0.8027,138.4
48128,0.0959,1.846,0.8125,139.9
48640,0.1339,1.9286,0.8477,141.4
49152,0.1047,1.8192,0.8281,142.9
49664,0.0799,1.6745,0.7969,144.4
