p_accept=p_termin,kebijakan,return_tim,konsensus,DA_penawaran_balik,SLM_revisi_termin
0.3,Random,-0.291,0.786,0.442,0.334
0.3,Rule-based,0.107,0.762,0.0,0.0
0.3,IQL,1.029,0.796,0.355,0.452
0.3,CTDE,0.842,0.798,0.0,0.728
0.5,Random,-0.179,0.786,0.454,0.329
0.5,Rule-based,0.107,0.762,0.0,0.0
0.5,IQL,1.415,0.798,0.341,0.464
0.5,CTDE,2.136,0.78,0.0,1.0
0.7,Random,-0.016,0.786,0.458,0.325
0.7,Rule-based,0.107,0.762,0.0,0.0
0.7,IQL,0.936,0.788,0.345,0.615
0.7,CTDE,2.107,0.78,0.0,1.0
0.9,Random,0.133,0.784,0.46,0.328
0.9,Rule-based,0.107,0.762,0.0,0.0
0.9,IQL,1.538,0.804,0.561,0.307
0.9,CTDE,2.363,0.782,0.004,1.0
