episode,entropy,mean_team_return,consensus_rate,seconds
512,0.7739,0.6438,0.8125,1.4
1024,0.7122,1.0918,0.8105,2.9
1536,0.5808,1.5705,0.8379,4.3
2048,0.5354,1.5054,0.8242,5.8
2560,0.4923,1.651,0.8145,7.2
3072,0.5205,1.6082,0.8223,8.7
3584,0.5041,1.5333,0.7969,10.2
4096,0.5154,1.7502,0.8379,11.6
4608,0.5031,1.7128,0.8262,13.1
5120,0.466,1.6917,0.8203,14.5
5632,0.4563,1.6756,0.8105,16.0
6144,0.4401,1.8825,0.8516,17.4
6656,0.4018,1.7577,0.8223,18.9
7168,0.4292,1.7108,0.8262,20.4
7680,0.4132,1.7581,0.7949,21.9
8192,0.3862,1.6434,0.7617,23.4
8704,0.3727,1.739,0.8008,24.9
9216,0.3761,1.6302,0.7988,26.3
9728,0.3451,1.698,0.8027,27.8
10240,0.3404,1.6185,0.8027,29.2
10752,0.3268,1.7452,0.8066,30.7
11264,0.3313,1.8409,0.8125,32.2
11776,0.2573,1.8451,0.8184,33.7
12288,0.2872,1.8637,0.8125,35.1
12800,0.376,1.7427,0.8262,36.6
13312,0.4383,1.9419,0.8477,38.0
13824,0.4414,1.7632,0.8086,39.4
14336,0.3802,1.6994,0.8164,40.9
14848,0.4034,1.7445,0.8203,42.4
15360,0.3922,1.9291,0.8594,43.8
15872,0.3759,1.8085,0.8379,45.3
16384,0.3618,1.6417,0.834,46.7
16896,0.3472,1.7448,0.8203,48.2
17408,0.3435,1.8745,0.8223,49.7
17920,0.3317,1.5703,0.8066,51.2
18432,0.3142,1.6877,0.8066,52.7
18944,0.3204,1.6981,0.832,54.1
19456,0.2998,1.7297,0.8223,55.6
19968,0.2875,1.8755,0.8301,57.1
20480,0.2904,1.9236,0.8398,58.5
20992,0.2496,1.8207,0.8262,60.0
21504,0.2943,1.704,0.8086,61.5
22016,0.282,1.7126,0.8223,63.0
22528,0.3012,1.8055,0.8262,64.4
23040,0.2866,1.8962,0.8535,65.9
23552,0.257,1.6823,0.8047,67.4
24064,0.2858,1.913,0.8301,68.8
24576,0.265,1.7947,0.8301,70.3
25088,0.2706,1.7583,0.8281,71.8
25600,0.247,1.864,0.8652,73.2
26112,0.2584,1.7955,0.8535,74.7
26624,0.2398,1.7093,0.8164,76.2
27136,0.2407,1.7444,0.8457,77.6
27648,0.2585,1.7723,0.8457,79.1
28160,0.2955,1.8648,0.8223,80.6
28672,0.2846,1.7535,0.7812,82.1
29184,0.2975,1.8458,0.8203,83.6
29696,0.2348,1.7531,0.8281,85.0
30208,0.2477,1.7985,0.8457,86.5
30720,0.3007,1.7666,0.8262,87.9
31232,0.2632,1.9814,0.834,89.4
31744,0.291,1.7861,0.8125,90.8
32256,0.2835,1.7118,0.7969,92.4
32768,0.3287,1.8465,0.834,93.8
33280,0.3123,1.9307,0.8477,95.2
33792,0.3028,1.7647,0.8047,96.7
34304,0.2655,1.7819,0.8066,98.2
34816,0.2732,1.7557,0.8184,99.7
35328,0.2489,1.8231,0.8398,101.1
35840,0.2146,1.7085,0.8164,102.6
36352,0.2049,1.7993,0.832,104.1
36864,0.2163,1.724,0.8379,105.5
37376,0.2233,1.7193,0.832,107.0
37888,0.2428,1.8036,0.832,108.5
38400,0.2184,1.8912,0.8438,109.9
38912,0.214,1.8103,0.8262,111.4
39424,0.233,1.7836,0.8359,112.8
39936,0.2219,1.8396,0.8555,114.3
40448,0.1763,1.8358,0.8359,115.8
40960,0.1798,1.8135,0.832,117.2
41472,0.25,1.7556,0.8418,118.7
41984,0.2178,1.7046,0.8223,120.1
42496,0.2393,1.7635,0.834,121.6
43008,0.2434,1.8411,0.8379,123.1
43520,0.1865,1.7741,0.8457,124.5
44032,0.2402,1.7006,0.8125,126.0
44544,0.2674,1.8992,0.8574,127.4
45056,0.2384,1.9175,0.8281,128.9
45568,0.2356,1.8616,0.8184,130.4
46080,0.1821,1.7216,0.8066,131.9
46592,0.1882,1.8412,0.8379,133.3
47104,0.2083,1.7938,0.8301,134.8
47616,0.1864,1.689,0.8223,136.3
48128,0.2302,1.7939,0.8281,137.8
48640,0.1944,1.9202,0.8691,139.2
49152,0.1816,1.7819,0.8438,140.6
49664,0.1589,1.6829,0.8184,142.1
