episode,epsilon,mean_team_return,consensus_rate,seconds
500,0.986,0.0352,0.798,1.2
1000,0.973,-0.0366,0.788,2.4
1500,0.959,-0.1623,0.784,3.6
2000,0.946,-0.0335,0.798,4.7
2500,0.932,0.1447,0.804,5.9
3000,0.919,-0.0296,0.792,7.1
3500,0.905,-0.0343,0.798,8.3
4000,0.891,0.1026,0.804,9.5
4500,0.878,0.342,0.82,10.7
5000,0.864,0.1239,0.79,11.8
5500,0.851,-0.0598,0.772,13.0
6000,0.837,0.3393,0.83,14.2
6500,0.824,0.4235,0.824,15.4
7000,0.81,0.1262,0.794,16.6
7500,0.796,0.2037,0.798,17.8
8000,0.783,-0.1948,0.756,19.0
8500,0.769,0.3007,0.8,20.1
9000,0.756,0.3836,0.802,21.3
9500,0.742,0.5173,0.81,22.5
10000,0.729,0.2567,0.798,23.7
10500,0.715,0.4828,0.818,24.9
11000,0.701,0.3928,0.808,26.1
11500,0.688,0.085,0.776,27.2
12000,0.674,0.6229,0.824,28.4
12500,0.661,0.4347,0.806,29.6
13000,0.647,0.4134,0.806,30.8
13500,0.634,0.8073,0.842,32.0
14000,0.62,0.4638,0.796,33.2
14500,0.606,0.6133,0.794,34.3
15000,0.593,0.7023,0.83,35.5
15500,0.579,0.7995,0.828,36.7
16000,0.566,0.7002,0.818,37.9
16500,0.552,0.8082,0.818,39.0
17000,0.539,0.8851,0.822,40.2
17500,0.525,0.7321,0.794,41.4
18000,0.511,0.407,0.792,42.6
18500,0.498,0.5588,0.794,43.8
19000,0.484,0.5941,0.798,45.0
19500,0.471,0.7112,0.812,46.2
20000,0.457,0.9805,0.828,47.4
20500,0.444,1.066,0.844,48.5
21000,0.43,0.886,0.808,49.7
21500,0.416,0.7639,0.802,50.9
22000,0.403,0.6932,0.786,52.1
22500,0.389,0.4932,0.784,53.3
23000,0.376,0.8987,0.818,54.4
23500,0.362,0.7946,0.794,55.6
24000,0.349,0.663,0.79,56.8
24500,0.335,0.8221,0.804,58.0
25000,0.321,1.0088,0.822,59.2
25500,0.308,0.8905,0.816,60.3
26000,0.294,0.9237,0.82,61.5
26500,0.281,1.0451,0.834,62.7
27000,0.267,0.7249,0.804,63.9
27500,0.254,1.1152,0.842,65.1
28000,0.24,1.1713,0.82,66.4
28500,0.226,0.5945,0.734,67.6
29000,0.213,0.9722,0.812,68.8
29500,0.199,0.9664,0.816,70.0
30000,0.186,0.7946,0.822,71.1
30500,0.172,1.1019,0.85,72.3
31000,0.159,0.8033,0.798,73.5
31500,0.145,1.0599,0.81,74.7
32000,0.131,0.9307,0.8,75.9
32500,0.118,0.9968,0.794,77.0
33000,0.104,1.3212,0.852,78.2
33500,0.091,0.8441,0.79,79.4
34000,0.077,0.7283,0.774,80.7
34500,0.064,0.7262,0.784,81.9
35000,0.05,0.8549,0.798,83.1
35500,0.05,0.7314,0.776,84.3
36000,0.05,0.494,0.766,85.5
36500,0.05,1.2107,0.806,86.7
37000,0.05,0.8686,0.798,87.9
37500,0.05,1.2787,0.824,89.1
38000,0.05,1.1498,0.818,90.3
38500,0.05,1.0677,0.816,91.5
39000,0.05,1.0874,0.814,92.6
39500,0.05,1.158,0.824,93.8
40000,0.05,1.3829,0.87,94.9
40500,0.05,1.126,0.808,96.1
41000,0.05,1.0238,0.808,97.3
41500,0.05,1.1812,0.834,98.5
42000,0.05,1.0362,0.804,99.7
42500,0.05,1.1472,0.814,100.9
43000,0.05,1.2358,0.824,102.1
43500,0.05,1.2043,0.848,103.3
44000,0.05,1.0653,0.786,104.4
44500,0.05,1.1745,0.838,105.6
45000,0.05,0.9096,0.79,106.7
45500,0.05,1.1499,0.794,107.9
46000,0.05,1.1936,0.786,109.0
46500,0.05,1.1972,0.804,110.2
47000,0.05,1.0141,0.792,111.3
47500,0.05,1.3865,0.836,112.5
48000,0.05,1.1849,0.798,113.7
48500,0.05,1.4827,0.822,114.8
49000,0.05,1.3477,0.816,116.0
49500,0.05,1.2355,0.812,117.1
50000,0.05,1.2197,0.82,118.3
