episode,entropy,mean_team_return,consensus_rate,seconds
512,0.7839,1.1065,0.8398,1.5
1024,0.7046,1.7678,0.8203,3.0
1536,0.6625,1.781,0.8496,4.5
2048,0.619,1.8291,0.8398,5.9
2560,0.5908,2.1268,0.8633,7.4
3072,0.5501,2.0423,0.8457,8.8
3584,0.5172,2.2023,0.832,10.2
4096,0.4685,2.4618,0.8555,11.6
4608,0.3833,2.815,0.8164,13.0
5120,0.352,2.9062,0.8066,14.5
5632,0.3113,3.0077,0.8281,15.9
6144,0.2676,3.097,0.8242,17.3
6656,0.238,3.3136,0.8398,18.8
7168,0.2307,3.0334,0.8379,20.2
7680,0.2215,3.4275,0.8164,21.6
8192,0.1965,3.2969,0.7871,23.1
8704,0.1841,3.5044,0.8203,24.6
9216,0.1894,3.498,0.8203,26.0
9728,0.1889,3.8785,0.8203,27.5
10240,0.2168,3.3128,0.7852,28.9
10752,0.2304,3.3845,0.8379,30.3
11264,0.2148,4.0674,0.832,31.8
11776,0.1398,3.9169,0.8164,33.2
12288,0.1429,3.7587,0.7988,34.7
12800,0.1617,3.8147,0.8008,36.2
13312,0.156,3.8038,0.8398,37.7
13824,0.1892,3.7043,0.8555,39.1
14336,0.1767,3.9814,0.8242,40.6
14848,0.1799,3.9785,0.8477,42.0
15360,0.167,4.2117,0.8457,43.5
15872,0.174,3.8106,0.8516,44.9
16384,0.1934,4.3,0.834,46.4
16896,0.1992,4.2473,0.834,47.9
17408,0.1951,4.0484,0.8398,49.4
17920,0.1694,3.8039,0.8008,50.9
18432,0.1763,4.2216,0.8477,52.3
18944,0.1494,3.9295,0.8438,53.8
19456,0.1595,3.9649,0.834,55.3
19968,0.1121,4.1528,0.8496,56.7
20480,0.1222,3.9423,0.834,58.2
20992,0.1112,4.0155,0.8516,59.6
21504,0.1282,4.4371,0.8008,61.1
22016,0.122,4.097,0.8027,62.6
22528,0.1306,4.0265,0.8125,64.0
23040,0.1188,4.2802,0.8535,65.5
23552,0.1264,4.1155,0.8262,67.0
24064,0.122,4.0762,0.8145,68.4
24576,0.1434,4.1471,0.873,69.9
25088,0.1477,3.9746,0.8281,71.3
25600,0.1216,3.9804,0.8496,72.7
26112,0.1079,4.0999,0.8516,74.2
26624,0.1213,4.1102,0.8477,75.6
27136,0.1294,4.1074,0.8535,77.0
27648,0.1188,4.12,0.8516,78.5
28160,0.1164,4.1233,0.8105,79.9
28672,0.1037,4.2797,0.8066,81.4
29184,0.107,4.0976,0.8418,82.9
29696,0.0938,4.2481,0.8242,84.3
30208,0.0886,3.9636,0.8633,85.7
30720,0.0897,4.3599,0.8379,87.2
31232,0.0888,4.3697,0.8496,88.6
31744,0.0917,4.4012,0.8262,90.1
32256,0.0918,4.1442,0.8164,91.6
32768,0.1084,3.9364,0.8379,93.0
33280,0.0647,4.3272,0.8613,94.4
33792,0.0939,4.2859,0.8125,95.9
34304,0.0761,4.4177,0.8379,97.4
34816,0.0644,4.5503,0.832,98.8
35328,0.0604,3.8694,0.8438,100.2
35840,0.0589,4.1192,0.832,101.7
36352,0.0559,4.2894,0.8477,103.1
36864,0.0571,4.1855,0.8203,104.6
37376,0.0712,4.0714,0.7949,106.0
37888,0.0903,3.937,0.8418,107.5
38400,0.0726,4.2805,0.8652,108.9
38912,0.0681,4.27,0.8398,110.4
39424,0.0691,4.4479,0.8379,111.8
39936,0.0693,4.395,0.8574,113.3
40448,0.0981,4.0716,0.8496,114.7
40960,0.0803,4.2699,0.8418,116.2
41472,0.0518,4.2987,0.8418,117.6
41984,0.0578,3.9992,0.8535,119.1
42496,0.073,4.1818,0.8184,120.5
43008,0.0739,4.1416,0.8555,122.0
43520,0.0836,4.1867,0.8242,123.5
44032,0.0548,4.1508,0.8359,124.9
44544,0.0406,4.6124,0.832,126.4
45056,0.0532,4.119,0.8164,127.9
45568,0.0635,4.4473,0.8477,129.3
46080,0.0623,4.4554,0.832,130.8
46592,0.0542,4.5728,0.8555,132.3
47104,0.0445,4.0242,0.791,133.7
47616,0.0527,4.1125,0.8203,135.2
48128,0.0907,3.7414,0.8418,136.6
48640,0.0678,4.4528,0.8574,138.1
49152,0.0485,4.1518,0.8379,139.5
49664,0.0508,4.0417,0.8184,141.0
