episode,epsilon,mean_team_return,consensus_rate,seconds
500,0.986,0.183,0.792,1.2
1000,0.973,0.1006,0.776,2.4
1500,0.959,0.1323,0.776,3.6
2000,0.946,0.1536,0.784,4.7
2500,0.932,0.4742,0.812,5.9
3000,0.919,0.3639,0.798,7.1
3500,0.905,0.192,0.806,8.2
4000,0.891,0.4559,0.808,9.4
4500,0.878,0.7323,0.83,10.5
5000,0.864,0.6722,0.824,11.7
5500,0.851,0.3135,0.776,12.9
6000,0.837,0.3276,0.798,14.0
6500,0.824,0.6091,0.818,15.2
7000,0.81,0.5389,0.802,16.3
7500,0.796,0.8646,0.834,17.5
8000,0.783,0.6926,0.806,18.7
8500,0.769,0.551,0.808,19.8
9000,0.756,0.9433,0.822,21.0
9500,0.742,1.0411,0.836,22.1
10000,0.729,0.692,0.812,23.3
10500,0.715,0.9071,0.838,24.5
11000,0.701,0.7357,0.82,25.6
11500,0.688,0.7419,0.81,26.8
12000,0.674,0.8482,0.808,27.9
12500,0.661,0.9828,0.804,29.1
13000,0.647,1.1376,0.834,30.3
13500,0.634,0.828,0.81,31.4
14000,0.62,0.8042,0.816,32.6
14500,0.606,1.0891,0.808,33.8
15000,0.593,1.1949,0.842,34.9
15500,0.579,1.4091,0.848,36.1
16000,0.566,1.214,0.838,37.2
16500,0.552,1.2483,0.83,38.4
17000,0.539,1.327,0.828,39.5
17500,0.525,1.4795,0.832,40.7
18000,0.511,1.2535,0.814,41.9
18500,0.498,1.3975,0.828,43.0
19000,0.484,1.2111,0.824,44.2
19500,0.471,1.2993,0.818,45.4
20000,0.457,1.572,0.842,46.6
20500,0.444,1.3377,0.826,47.7
21000,0.43,1.3302,0.83,48.9
21500,0.416,1.3209,0.82,50.0
22000,0.403,1.3829,0.804,51.2
22500,0.389,1.5397,0.814,52.4
23000,0.376,1.7044,0.856,53.5
23500,0.362,1.4904,0.814,54.7
24000,0.349,1.3782,0.798,55.8
24500,0.335,1.2529,0.834,57.0
25000,0.321,1.6703,0.844,58.1
25500,0.308,1.5105,0.818,59.3
26000,0.294,1.4886,0.82,60.4
26500,0.281,1.7471,0.838,61.6
27000,0.267,1.5907,0.822,62.8
27500,0.254,1.7507,0.828,63.9
28000,0.24,1.6833,0.812,65.1
28500,0.226,1.6562,0.794,66.2
29000,0.213,1.4691,0.786,67.4
29500,0.199,1.8686,0.824,68.5
30000,0.186,1.6627,0.834,69.7
30500,0.172,1.7568,0.848,70.8
31000,0.159,1.8281,0.798,72.0
31500,0.145,1.9078,0.812,73.2
32000,0.131,1.8527,0.832,74.3
32500,0.118,1.8312,0.816,75.4
33000,0.104,2.0568,0.852,76.6
33500,0.091,1.9899,0.852,77.7
34000,0.077,1.7844,0.812,78.9
34500,0.064,2.0393,0.818,80.0
35000,0.05,1.7808,0.85,81.2
35500,0.05,1.7823,0.802,82.3
36000,0.05,1.8148,0.824,83.5
36500,0.05,2.3822,0.838,84.6
37000,0.05,1.562,0.784,85.8
37500,0.05,1.9136,0.82,86.9
38000,0.05,1.8495,0.802,88.0
38500,0.05,2.241,0.862,89.2
39000,0.05,1.9623,0.808,90.3
39500,0.05,2.1002,0.814,91.5
40000,0.05,2.3002,0.838,92.6
40500,0.05,1.9576,0.812,93.8
41000,0.05,2.2404,0.828,94.9
41500,0.05,1.9857,0.836,96.1
42000,0.05,1.9084,0.834,97.2
42500,0.05,2.1519,0.79,98.4
43000,0.05,2.2962,0.832,99.5
43500,0.05,2.1868,0.806,100.7
44000,0.05,2.2691,0.832,101.8
44500,0.05,2.4442,0.838,103.0
45000,0.05,1.9405,0.816,104.1
45500,0.05,2.396,0.848,105.3
46000,0.05,2.3859,0.83,106.4
46500,0.05,2.1658,0.842,107.6
47000,0.05,1.8201,0.788,108.7
47500,0.05,2.0987,0.808,109.9
48000,0.05,1.886,0.79,111.0
48500,0.05,2.4863,0.848,112.2
49000,0.05,2.2139,0.846,113.3
49500,0.05,2.4824,0.812,114.4
50000,0.05,2.0236,0.814,115.6
