episode,entropy,mean_team_return,consensus_rate,seconds
512,0.7438,0.9658,0.8301,1.5
1024,0.6757,1.747,0.8184,3.0
1536,0.6099,2.0892,0.8457,4.4
2048,0.5957,2.1251,0.8125,5.8
2560,0.5416,2.3866,0.832,7.3
3072,0.4864,2.6309,0.8223,8.7
3584,0.4388,2.8918,0.8105,10.1
4096,0.4091,2.6469,0.8047,11.5
4608,0.3936,2.857,0.832,12.9
5120,0.4085,2.9193,0.8223,14.4
5632,0.3572,3.1233,0.8184,15.8
6144,0.3501,3.3002,0.8164,17.2
6656,0.3582,3.3131,0.834,18.6
7168,0.3582,3.0894,0.8418,20.1
7680,0.3185,3.3845,0.8301,21.5
8192,0.2869,3.1986,0.8047,23.0
8704,0.2854,3.4716,0.8047,24.4
9216,0.2485,3.2739,0.8262,25.8
9728,0.2399,3.6272,0.8281,27.3
10240,0.2393,3.0836,0.8027,28.7
10752,0.2477,3.3769,0.8242,30.2
11264,0.258,3.8013,0.8301,31.6
11776,0.217,3.5881,0.8145,33.1
12288,0.2164,3.545,0.8047,34.5
12800,0.2578,3.5923,0.8184,36.0
13312,0.2724,3.5427,0.8184,37.4
13824,0.2775,3.3611,0.8496,38.8
14336,0.2588,3.8494,0.8203,40.3
14848,0.262,3.7536,0.8438,41.7
15360,0.2503,3.8487,0.8594,43.1
15872,0.2612,3.6618,0.8496,44.5
16384,0.2795,4.1466,0.8379,46.0
16896,0.2647,4.2037,0.8398,47.4
17408,0.2706,4.0455,0.8047,48.9
17920,0.2584,3.4111,0.8242,50.4
18432,0.2247,3.9954,0.8281,51.8
18944,0.2174,3.7501,0.8066,53.3
19456,0.2594,4.0109,0.8359,54.7
19968,0.2421,4.1539,0.8477,56.2
20480,0.2545,3.6995,0.834,57.6
20992,0.2324,3.7668,0.8535,59.0
21504,0.2295,4.3773,0.8066,60.5
22016,0.2363,4.0342,0.8086,62.0
22528,0.2559,3.7902,0.8027,63.4
23040,0.2433,3.988,0.8613,64.9
23552,0.2404,3.831,0.8184,66.3
24064,0.2251,3.8952,0.8262,67.8
24576,0.242,4.0294,0.8535,69.2
25088,0.2265,4.2068,0.8145,70.7
25600,0.2077,3.915,0.8457,72.1
26112,0.1908,3.9747,0.8496,73.5
26624,0.204,3.9483,0.8457,75.0
27136,0.2028,3.9295,0.8555,76.4
27648,0.1656,3.9423,0.8477,77.9
28160,0.1488,4.0977,0.8203,79.3
28672,0.1449,3.9915,0.7969,80.8
29184,0.1627,3.872,0.8398,82.2
29696,0.1343,4.1226,0.8203,83.7
30208,0.1248,3.7287,0.8535,85.1
30720,0.1503,4.1735,0.832,86.6
31232,0.1874,4.2854,0.8516,88.0
31744,0.2109,4.0819,0.8125,89.5
32256,0.2232,3.9842,0.8047,91.0
32768,0.2288,3.8271,0.8496,92.4
33280,0.1691,4.2022,0.8672,93.8
33792,0.1713,4.0935,0.8184,95.3
34304,0.1684,3.8993,0.8418,96.8
34816,0.1605,4.2166,0.8379,98.2
35328,0.1789,3.7368,0.8457,99.6
35840,0.1759,4.0936,0.8438,101.1
36352,0.1391,4.407,0.8496,102.5
36864,0.1226,4.1794,0.8301,104.0
37376,0.1166,4.1023,0.8105,105.5
37888,0.1359,3.9585,0.834,106.9
38400,0.1168,4.111,0.8477,108.4
38912,0.0871,4.1766,0.8281,109.8
39424,0.1029,4.3085,0.8418,111.3
39936,0.0878,4.288,0.8535,112.7
40448,0.1116,4.1929,0.8223,114.2
40960,0.1015,4.1513,0.8398,115.7
41472,0.0867,4.061,0.8457,117.1
41984,0.0632,3.9233,0.8535,118.6
42496,0.0708,4.0861,0.8125,120.0
43008,0.0713,3.8416,0.8418,121.5
43520,0.0721,4.0631,0.8047,122.9
44032,0.0643,4.1028,0.832,124.4
44544,0.0596,4.6362,0.8438,125.8
45056,0.084,3.9396,0.8125,127.3
45568,0.0992,4.4612,0.8457,128.8
46080,0.0891,4.3245,0.8281,130.3
46592,0.0971,4.3827,0.8555,131.7
47104,0.0859,4.0116,0.8086,133.2
47616,0.1095,3.92,0.8203,134.6
48128,0.121,3.9426,0.8379,136.1
48640,0.1117,4.3528,0.8535,137.5
49152,0.0781,4.0274,0.8535,139.0
49664,0.0878,4.1993,0.8164,140.5
