episode,epsilon,mean_team_return,consensus_rate,seconds
500,0.986,0.5209,0.804,1.2
1000,0.973,0.1732,0.764,2.4
1500,0.959,0.1254,0.762,3.6
2000,0.946,0.3199,0.798,4.8
2500,0.932,0.587,0.808,6.0
3000,0.919,0.4037,0.782,7.2
3500,0.905,0.4414,0.804,8.4
4000,0.891,0.8122,0.828,9.6
4500,0.878,0.5867,0.806,10.7
5000,0.864,0.7927,0.826,11.9
5500,0.851,0.6073,0.798,13.1
6000,0.837,0.615,0.818,14.3
6500,0.824,0.8748,0.836,15.5
7000,0.81,0.5496,0.798,16.7
7500,0.796,0.7968,0.822,17.9
8000,0.783,0.8687,0.82,19.0
8500,0.769,0.6662,0.8,20.2
9000,0.756,1.0244,0.826,21.4
9500,0.742,0.8655,0.82,22.6
10000,0.729,0.8226,0.796,23.8
10500,0.715,1.0524,0.836,25.0
11000,0.701,0.9122,0.84,26.1
11500,0.688,0.8241,0.83,27.3
12000,0.674,1.0126,0.81,28.5
12500,0.661,0.8284,0.786,29.7
13000,0.647,1.1695,0.838,30.9
13500,0.634,1.159,0.804,32.1
14000,0.62,1.0116,0.814,33.3
14500,0.606,1.117,0.82,34.4
15000,0.593,1.4107,0.858,35.6
15500,0.579,1.2272,0.824,36.8
16000,0.566,1.3234,0.83,38.0
16500,0.552,1.4696,0.82,39.2
17000,0.539,1.3421,0.83,40.3
17500,0.525,1.5685,0.826,41.5
18000,0.511,1.328,0.82,42.7
18500,0.498,1.4436,0.826,43.9
19000,0.484,1.2266,0.82,45.1
19500,0.471,1.3926,0.824,46.2
20000,0.457,1.6162,0.844,47.4
20500,0.444,1.6749,0.834,48.6
21000,0.43,1.5355,0.834,49.7
21500,0.416,1.384,0.8,50.9
22000,0.403,1.4208,0.804,52.1
22500,0.389,1.3947,0.796,53.3
23000,0.376,1.4468,0.826,54.5
23500,0.362,1.6594,0.806,55.6
24000,0.349,1.6414,0.828,56.8
24500,0.335,1.4194,0.834,58.0
25000,0.321,1.7432,0.812,59.2
25500,0.308,1.4281,0.808,60.4
26000,0.294,1.5611,0.834,61.5
26500,0.281,1.763,0.858,62.7
27000,0.267,1.6273,0.832,63.9
27500,0.254,1.7876,0.858,65.0
28000,0.24,1.6437,0.826,66.2
28500,0.226,1.6058,0.798,67.4
29000,0.213,1.783,0.806,68.6
29500,0.199,1.9866,0.828,69.7
30000,0.186,1.8619,0.828,70.9
30500,0.172,1.5698,0.844,72.1
31000,0.159,2.1085,0.842,73.3
31500,0.145,2.0701,0.814,74.4
32000,0.131,1.7849,0.844,75.6
32500,0.118,1.7989,0.816,76.8
33000,0.104,1.9456,0.846,77.9
33500,0.091,2.3534,0.862,79.1
34000,0.077,2.2187,0.828,80.2
34500,0.064,2.1058,0.794,81.4
35000,0.05,2.249,0.82,82.6
35500,0.05,2.122,0.82,83.7
36000,0.05,2.2465,0.844,84.9
36500,0.05,2.5694,0.816,86.1
37000,0.05,2.1092,0.818,87.2
37500,0.05,2.5847,0.824,88.4
38000,0.05,2.3084,0.83,89.6
38500,0.05,2.4742,0.842,90.7
39000,0.05,2.2407,0.81,91.9
39500,0.05,2.2273,0.824,93.0
40000,0.05,2.7554,0.836,94.2
40500,0.05,2.7014,0.824,95.4
41000,0.05,2.5425,0.826,96.5
41500,0.05,2.5088,0.834,97.7
42000,0.05,2.0989,0.84,98.8
42500,0.05,2.2987,0.812,100.0
43000,0.05,2.1489,0.812,101.2
43500,0.05,2.1336,0.786,102.4
44000,0.05,1.6657,0.78,103.5
44500,0.05,2.8327,0.826,104.7
45000,0.05,2.5482,0.806,105.9
45500,0.05,2.5945,0.828,107.0
46000,0.05,2.5434,0.8,108.2
46500,0.05,2.4754,0.826,109.4
47000,0.05,1.8358,0.762,110.5
47500,0.05,2.7138,0.818,111.7
48000,0.05,1.9761,0.784,112.9
48500,0.05,2.5524,0.844,114.0
49000,0.05,2.2426,0.83,115.2
49500,0.05,2.3648,0.808,116.3
50000,0.05,1.9692,0.794,117.5
