p_accept=p_termin,kebijakan,return_tim,konsensus,DA_penawaran_balik,SLM_revisi_termin
0.3,Random,-0.254,0.756,0.436,0.328
0.3,Rule-based,-0.544,0.67,0.0,0.0
0.3,IQL,2.131,0.796,0.428,0.467
0.3,CTDE,4.205,0.822,0.0,1.0
0.5,Random,-0.121,0.754,0.439,0.328
0.5,Rule-based,-0.544,0.67,0.0,0.0
0.5,IQL,2.428,0.814,0.537,0.261
0.5,CTDE,4.472,0.812,0.0,1.0
0.7,Random,0.123,0.752,0.444,0.333
0.7,Rule-based,-0.544,0.67,0.0,0.0
0.7,IQL,2.48,0.764,0.453,0.523
0.7,CTDE,4.509,0.804,0.0,1.0
0.9,Random,0.281,0.746,0.46,0.32
0.9,Rule-based,-0.544,0.67,0.0,0.0
0.9,IQL,2.923,0.81,0.493,0.492
0.9,CTDE,4.553,0.804,0.072,1.0
